
Round,Player A,Player B,Played?,Winner
1,Boflo,Junior,YES,Junior
2,Boflo,Junior,YES,Boflo
3,Boflo,Junior,NO,
1,Boflo,Sydney,YES,Sydney
2,Boflo,Sydney,YES,Sydney
3,Boflo,Sydney,YES,Sydney
1,Boflo,Mwas,YES,Boflo
2,Boflo,Mwas,YES,Boflo
3,Boflo,Mwas,NO,
1,Boflo,Collo,YES,Boflo
2,Boflo,Collo,YES,Boflo
3,Boflo,Collo,YES,Boflo
1,Boflo,Nesta,YES,Boflo
2,Boflo,Nesta,YES,Boflo
3,Boflo,Nesta,NO,
1,Boflo,Yusuf,YES,Boflo
2,Boflo,Yusuf,YES,Yusuf
3,Boflo,Yusuf,YES,Boflo
1,Boflo,Don,YES,Boflo
2,Boflo,Don,YES,Boflo
3,Boflo,Don,YES,Boflo
1,Boflo,Ken,YES,Ken
2,Boflo,Ken,YES,Boflo
3,Boflo,Ken,YES,Boflo
1,Junior,Sydney,YES,Junior
2,Junior,Sydney,YES,Sydney
3,Junior,Sydney,YES,Junior
1,Junior,Mwas,YES,Mwas
2,Junior,Mwas,YES,Junior
3,Junior,Mwas,YES,Junior
1,Junior,Collo,YES,Collo
2,Junior,Collo,YES,Junior
3,Junior,Collo,YES,Collo
1,Junior,Nesta,YES,Junior
2,Junior,Nesta,YES,Junior
3,Junior,Nesta,YES,Junior
1,Junior,Yusuf,YES,Junior
2,Junior,Yusuf,YES,Junior
3,Junior,Yusuf,YES,Junior
1,Junior,Don,YES,Junior
2,Junior,Don,YES,Junior
3,Junior,Don,YES,Don
1,Junior,Ken,YES,Ken
2,Junior,Ken,YES,Junior
3,Junior,Ken,YES,Ken
1,Sydney,Mwas,YES,Sydney
2,Sydney,Mwas,YES,Sydney
3,Sydney,Mwas,YES,Sydney
1,Sydney,Collo,YES,Collo
2,Sydney,Collo,YES,Collo
3,Sydney,Collo,YES,Collo
1,Sydney,Nesta,YES,Sydney
2,Sydney,Nesta,YES,Nesta
3,Sydney,Nesta,NO,
1,Sydney,Yusuf,YES,Sydney
2,Sydney,Yusuf,YES,Sydney
3,Sydney,Yusuf,YES,Sydney
1,Sydney,Don,YES,Sydney
2,Sydney,Don,YES,Sydney
3,Sydney,Don,YES,Sydney
1,Sydney,Ken,YES,Sydney
2,Sydney,Ken,NO,
3,Sydney,Ken,NO,
1,Mwas,Collo,YES,Collo
2,Mwas,Collo,YES,Collo
3,Mwas,Collo,YES,Collo
1,Mwas,Nesta,NO,
2,Mwas,Nesta,NO,
3,Mwas,Nesta,NO,
1,Mwas,Yusuf,YES,Mwas
2,Mwas,Yusuf,YES,Mwas
3,Mwas,Yusuf,NO,
1,Mwas,Don,YES,Mwas
2,Mwas,Don,YES,Don
3,Mwas,Don,YES,Don
1,Mwas,Ken,YES,Ken
2,Mwas,Ken,YES,Mwas
3,Mwas,Ken,NO,
1,Collo,Nesta,YES,Collo
2,Collo,Nesta,NO,
3,Collo,Nesta,NO,
1,Collo,Yusuf,YES,Collo
2,Collo,Yusuf,YES,Yusuf
3,Collo,Yusuf,YES,Yusuf
1,Collo,Don,YES,Don
2,Collo,Don,YES,Don
3,Collo,Don,NO,
1,Collo,Ken,YES,Ken
2,Collo,Ken,YES,Collo
3,Collo,Ken,YES,Collo
1,Nesta,Yusuf,YES,Nesta
2,Nesta,Yusuf,YES,Nesta
3,Nesta,Yusuf,YES,Yusuf
1,Nesta,Don,YES,Don
2,Nesta,Don,NO,
3,Nesta,Don,NO,
1,Nesta,Ken,NO,
2,Nesta,Ken,NO,
3,Nesta,Ken,NO,
1,Yusuf,Don,YES,Yusuf
2,Yusuf,Don,YES,Yusuf
3,Yusuf,Don,NO,
1,Yusuf,Ken,YES,Yusuf
2,Yusuf,Ken,YES,Ken
3,Yusuf,Ken,NO,
1,Don,Ken,YES,Don
2,Don,Ken,YES,Don
3,Don,Ken,NO,
